fips,life_expectancy,le_ci_low,le_ci_high,premature_mortality,drug_overdose_deaths,child_mortality
01001,76.585649727,75.847961029,77.323338424,8027.3947267,8.3524744205,51.496252217
01003,77.724729177,77.338976906,78.110481448,8118.3582061,17.5976783,51.169783452
01005,72.867210115,71.635871628,74.098548602,12876.760319,,82.704937971
01007,73.609363092,72.399394882,74.819331301,11191.474323,23.905572987,82.232333754
01009,74.1714626,73.434444235,74.908480965,10787.014541,17.862802155,71.173044146
01011,73.81468226,71.988632215,75.640732304,11406.351094,,
01013,73.473279047,72.084858089,74.861700006,12717.030159,,80.178683924
01015,72.825007074,72.309677473,73.340336675,11826.11499,19.334936766,57.897409853
01017,73.761104989,72.765651916,74.756558062,11059.443876,10.026670945,86.399308806
01019,74.014400904,72.833743191,75.195058617,11395.898384,17.82939813,65.343051018
01021,74.391084705,73.579126918,75.203042493,10342.204935,18.048098182,45.072828201
01023,74.214010199,72.372836887,76.055183511,12128.658021,,
01025,71.737339284,70.445295909,73.02938266,14428.01727,14.117713495,107.56894191
01027,72.89639799,71.323439606,74.469356375,12553.865469,,
01029,74.346662647,72.88124135,75.812083945,10529.879048,,80.811049074
01031,75.268544718,74.516392513,76.020696924,9298.3568368,8.8899613287,48.527003255
01033,73.875034169,73.092336172,74.657732167,11071.977061,12.090875017,58.725014681
01035,71.194267398,69.270865747,73.11766905,15564.972278,,
01037,73.925127489,71.725554962,76.124700017,13476.848366,,156.73981191
01039,72.917641871,71.995728824,73.839554918,12059.171195,16.22133105,80.155378118
01041,72.58910799,71.082601191,74.095614788,12024.580111,,
01043,73.914253636,73.336256494,74.492250777,10570.644074,19.465686761,48.023691688
01045,74.908845911,74.086113338,75.731578485,10384.793069,8.8383065805,62.248504924
01047,71.087503782,70.122535157,72.052472406,15053.294581,,47.587056321
01049,73.842478266,73.170424623,74.514531909,10883.125675,25.634333228,60.849282123
01051,75.289530854,74.671476833,75.907584875,9205.0311336,10.60125421,60.588534997
01053,72.208512051,71.249210662,73.16781344,13083.863455,32.828144663,82.184275409
01055,72.537031187,71.988064965,73.085997408,12211.098011,21.814156411,64.882585286
01057,73.059710184,71.575237099,74.544183269,12488.511478,24.501796798,
01059,73.676389027,72.686417397,74.666360657,10961.322979,12.734527549,61.290322581
01061,72.630878775,71.478041906,73.783715644,12682.499926,18.988303205,73.583517292
01063,72.860772885,70.4577852,75.26376057,14803.444714,,
01065,72.54515094,71.000047691,74.090254189,13406.622615,,102.75229358
01067,75.537585201,74.0942707,76.980899702,10034.027792,,77.898165852
01069,75.648321725,75.091973296,76.204670154,9505.3680352,13.872074253,83.585293116
01071,73.268808729,72.518859211,74.018758246,11395.223745,7.7447335812,51.098620337
01073,74.060552348,73.83001567,74.291089025,11420.422505,32.738449687,84.198662158
01075,75.261510187,73.758312617,76.764707757,9967.83546,,
01077,75.94632606,75.38271502,76.509937101,9011.6064395,10.772611712,43.972956632
01079,72.860354717,71.861178617,73.859530816,12573.670649,,66.830812522
01081,77.719816714,77.25786228,78.181771147,7312.4567666,8.479469589,64.778959794
01083,77.09611375,76.535199686,77.657027814,7851.805063,5.0451201916,46.663024674
01085,70.301468043,68.235493812,72.367442274,16605.901539,,125.34184139
01087,71.278186331,69.849443019,72.706929643,14740.200989,,
01089,77.353246658,77.050435305,77.656058012,8359.534618,20.109377137,54.644978406
01091,71.033099769,69.61544415,72.450755388,15174.438143,,87.494167056
01093,73.078828998,71.982991482,74.174666514,11966.682857,,80.896331351
01095,73.893120847,73.343231005,74.443010689,10517.459062,18.628847806,51.824212272
01097,74.441641678,74.154532963,74.728750393,10973.930953,16.455819754,68.556763707
01099,73.288869531,71.850775411,74.72696365,13663.940659,,72.964023124
01101,75.248792407,74.847245428,75.650339386,10524.456553,8.7163607569,81.69433098
01103,74.195469777,73.680965424,74.70997413,10859.756639,17.565823042,59.634121727
01105,70.790399594,68.599755355,72.981043832,16198.642163,,
01107,73.91421578,72.669150746,75.159280814,10619.005106,23.465915757,76.859027733
01109,73.931379851,72.850722553,75.012037149,11573.573482,,59.23234876
01111,73.921619865,72.644600289,75.198639441,11567.646144,,87.850757067
01113,73.380676587,72.616263376,74.145089798,11474.845158,24.715626599,76.921700864
01115,74.738053073,74.160399239,75.315706906,9846.1298985,28.258986172,53.268585162
01117,80.261566455,79.843652797,80.679480114,6125.2472555,17.714331964,42.938154252
01119,71.90939336,70.010910854,73.807875866,14936.415345,,
01121,72.926037062,72.25799359,73.594080535,12311.427351,11.259805414,87.626798948
01123,73.926745977,72.992666768,74.860825187,11407.690586,14.876401894,60.016804705
01125,75.826336033,75.422035297,76.230636768,9049.5675393,15.261738821,76.313271675
01127,69.629256842,68.916589903,70.341923781,15734.173669,27.314510834,90.366249092
01129,75.287942564,73.817376874,76.758508254,10228.285698,,84.074826596
01131,69.845386462,67.88413583,71.806637094,17713.593132,,
01133,74.823226352,73.597519281,76.048933424,10680.052369,18.362359987,73.000312858
02013,112.50385595,68.15741546,156.85029643,,,
02016,91.47865596,71.398262987,111.55904893,5256.9276347,,
02020,78.683915473,78.273165025,79.094665922,8016.4828284,21.808539486,56.580609576
02050,70.711690412,69.111150759,72.312230065,16258.648763,,141.93647384
02068,89.085612122,66.413311524,111.75791272,,,
02070,70.240750907,67.207912984,73.27358883,17438.073973,,193.73587343
02090,80.2125933,79.436993757,80.988192844,6864.6015676,14.066579522,61.000406669
02100,84.359986653,78.19092487,90.529048436,8009.4347289,,
02105,84.327972523,76.666488756,91.989456289,6966.0457464,,
02110,81.074345674,79.724645061,82.424046287,6632.7447212,19.804869913,36.892200989
02122,79.226274401,78.341428313,80.11112049,7919.6916966,23.209079845,60.417256679
02130,80.190629837,78.516253869,81.865005805,6148.4849695,,
02150,80.545960366,78.485266843,82.60665389,6129.8890716,,
02158,67.687245673,65.127251593,70.247239754,20938.531338,,212.25206763
02170,78.991712039,78.376614678,79.606809399,7119.8409826,17.477157049,39.040133257
02180,70.318965308,68.103862677,72.53406794,16614.74151,,159.79081929
02185,76.21044775,73.806617854,78.614277646,9547.7527265,,115.49566891
02188,71.252485897,68.721962048,73.783009746,15739.555937,,182.13277479
02195,80.638920457,77.529008658,83.748832256,5727.5152645,,
02198,76.446952936,72.567754371,80.326151501,12722.564711,,
02220,80.913571449,78.765717603,83.061425294,6245.5082498,,
02240,77.236080688,74.944893565,79.527267811,8863.9135102,,
02261,78.045021011,75.752945095,80.337096927,9157.4026914,,
02275,79.212160921,72.02093611,86.403385732,13779.098682,,
02290,72.497379507,69.717878332,75.276880681,14984.902414,,
04001,70.134960561,69.341256297,70.928664825,18660.501453,18.554596901,65.572927381
04003,78.247948135,77.726793417,78.769102853,7810.0523247,25.253720978,51.70630817
04005,77.965251028,77.366910625,78.563591432,9532.9508326,23.55350026,56.882331141
04007,72.677026021,71.68189742,73.672154622,15821.24903,30.824240182,98.066685346
04009,76.9683221,75.998279023,77.938365177,8828.0506631,25.835342749,65.41014584
04011,79.922212028,77.487484859,82.356939197,7439.4720852,,
04012,77.702550268,75.416822464,79.988278073,16354.671484,28.263668624,93.62621534
04013,79.637280503,79.545756344,79.728804662,7004.9181834,29.075378475,46.982341104
04015,75.46716119,75.046696615,75.887625765,10549.605029,22.850453175,57.411711989
04017,71.398138372,70.752575015,72.043701729,16595.224843,23.689505549,89.91573611
04019,78.472345648,78.28366662,78.661024675,8320.6409186,31.040242069,48.629910174
04021,81.797805936,81.430103052,82.165508819,7261.4571008,19.413915463,46.152864178
04023,81.185355742,80.244124568,82.126586915,6336.3796195,23.602280123,44.213107177
04025,78.387383332,77.966837308,78.807929355,8558.0304307,33.082715271,58.517252615
04027,80.484502751,79.978132446,80.990873055,7985.7133424,20.349862289,51.938329083
05001,72.94702319,71.630937123,74.263109258,11869.862349,,61.770337884
05003,73.814209739,72.483640454,75.144779023,11534.401651,23.711933878,61.15187903
05005,76.058274693,75.152567667,76.963981719,9851.8781761,17.48904947,
05007,79.47153427,79.122423613,79.820644927,6155.9064451,12.849142736,53.561863953
05009,76.130925946,75.218347313,77.043504578,9167.5096501,11.551756311,49.979420239
05011,72.151960849,70.23956006,74.064361638,14028.693195,,124.93993272
05013,72.92553611,70.176386596,75.674685624,12529.545517,,
05015,76.106042866,74.868022269,77.344063462,10595.796469,24.741102039,81.940347427
05017,72.207551561,70.234155705,74.180947416,13801.0238,,110.16855789
05019,75.320180917,74.176955139,76.463406695,8860.2541512,,
05021,73.030348193,71.54927514,74.511421246,11723.38892,22.845132844,103.33863275
05023,75.189754419,73.84009267,76.539416168,11259.822893,13.365588955,100.89209856
05025,75.051562289,73.056618747,77.046505832,9676.8700954,,
05027,73.931945789,72.728302373,75.135589205,11041.848332,,72.020165646
05029,75.330870797,74.074405744,76.587335849,9977.3059744,,79.360880377
05031,76.101241233,75.551826714,76.650655753,9014.8289751,7.8517825056,68.605927552
05033,76.354144152,75.635909859,77.072378445,8737.9582216,15.783492571,50.24962718
05035,72.170411508,71.316785016,73.024038,13358.325727,19.456199231,109.10343772
05037,72.089328692,70.678954097,73.499703287,12963.393982,,83.995606384
05039,73.848973866,71.569887987,76.128059745,12408.309248,,
05041,72.152740246,70.375784978,73.929695513,13137.472884,,
05043,74.0408529,72.609067486,75.472638313,11482.015545,,120.2912314
05045,76.310880918,75.797011732,76.824750104,8424.5572303,15.090063855,63.42421241
05047,73.997614703,72.548935783,75.446293622,11537.558429,,74.289605646
05049,75.32146628,73.695858799,76.947073761,10344.606783,,
05051,74.315747053,73.701521746,74.929972359,11824.023851,29.162434762,65.449968534
05053,76.155820404,74.781250229,77.530390578,8833.0495283,,73.882526782
05055,75.07499474,74.296251467,75.853738012,9090.5551131,11.009416721,52.114016405
05057,75.577810086,74.307151145,76.848469028,10015.638853,,45.150803684
05059,73.96822977,72.97365388,74.962805661,10833.060898,13.825931522,86.645727283
05061,73.488728951,71.89505933,75.082398571,11059.665963,,115.35688536
05063,75.87457343,74.958754411,76.790392449,9052.7025902,9.7121666961,62.955055565
05065,74.501877771,72.599056008,76.404699533,11824.381389,,142.03104393
05067,72.526377162,71.162241987,73.890512337,12163.386231,,80.959740929
05069,72.417638038,71.680124382,73.155151693,13723.75521,18.970122058,74.523220758
05071,75.488921777,74.339823521,76.638020033,10174.923547,13.778763168,57.212602029
